#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
1,Shohei Ohtani,LAD,L,DH,DH,150,672,564,120.6,42.3,100.8,23.4,153.2,77.1,27.8,6.0,320.0,161.3,93.2,4.7,4.1,3.5,6.2,0.271,0.374,0.567,0.941,0.304,6602710
2,Bobby Witt Jr.,KC,R,SS,SS,151,652,591,96.2,27.4,87.2,32.4,170.8,102.5,36.2,4.7,298.8,108.7,48.8,6.4,4.5,2.4,10.1,0.289,0.346,0.506,0.852,0.312,677951
3,Juan Soto,NYM,L,OF,OF,151,648,519,103.4,33.3,90.6,20.8,138.4,77.1,26.5,1.5,267.8,114.6,122.5,3.9,4.5,2.1,6.5,0.267,0.409,0.516,0.925,0.280,665742
4,Steven Kwan,CLE,L,OF,OF,148,645,572,84.0,11.2,55.2,18.4,155.9,109.9,32.9,1.9,226.1,62.3,60.8,4.5,3.9,3.5,4.4,0.273,0.343,0.395,0.738,0.288,680757
5,Gunnar Henderson,BAL,L,SS,SS,151,641,558,89.6,25.6,87.0,21.9,150.0,86.3,34.0,4.1,268.8,130.7,67.7,5.8,4.4,2.0,6.0,0.268,0.349,0.482,0.831,0.306,683002
6,Matt Olson,ATL,L,1B,1B,150,640,552,89.1,28.7,84.6,1.0,138.7,80.1,28.5,1.5,256.1,153.2,76.5,5.1,4.5,0.8,0.3,0.252,0.345,0.464,0.809,0.294,14344
7,Kyle Schwarber,PHI,L,DH,OF,148,639,530,95.7,38.3,88.5,6.5,120.2,63.0,17.5,1.3,255.3,177.3,96.1,7.0,4.3,2.4,1.9,0.227,0.350,0.481,0.831,0.257,16478
8,James Wood,WSH,L,OF,OF,151,639,548,87.4,26.3,75.4,17.9,138.9,79.2,32.1,1.3,252.6,181.9,77.6,3.8,4.1,2.8,5.5,0.254,0.345,0.461,0.807,0.328,695578
9,Rafael Devers,SF,L,1B,1B,150,637,545,85.7,27.1,75.6,2.2,131.7,77.4,25.9,1.2,241.5,158.1,79.1,6.4,4.4,2.0,0.8,0.242,0.341,0.443,0.784,0.287,646240
10,Julio Rodriguez,SEA,R,OF,OF,150,637,578,84.3,29.0,88.3,23.5,155.4,94.8,29.2,2.4,276.4,138.7,46.5,8.4,4.6,1.0,6.5,0.269,0.330,0.479,0.809,0.305,677594
11,Jackson Chourio,MIL,R,OF,OF,148,635,584,85.1,24.3,73.5,23.5,154.8,95.8,31.5,3.3,265.7,125.8,40.0,4.5,4.1,2.9,6.6,0.265,0.314,0.455,0.769,0.298,694192
12,Aaron Judge,NYY,R,OF,OF,148,634,510,107.7,40.1,99.8,8.7,140.9,74.0,25.7,1.2,289.2,158.0,111.9,6.2,4.5,1.7,2.5,0.276,0.408,0.567,0.975,0.318,15640
13,Vladimir Guerrero Jr.,TOR,R,1B,1B,150,634,547,93.1,30.0,94.7,4.8,159.4,96.5,32.3,0.6,282.8,87.4,73.9,6.2,4.6,0.8,1.7,0.291,0.377,0.516,0.894,0.298,665489
