#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
1,Logan Webb,SF,SP,R,30.8,30.8,18.6,770.2,184.8,12.3,8.2,0,0,3.48,3.27,1.22,172.3,43.7,182.4,5.6,72.9,80.9,15,53.3,26.8,19.9,0.316,657277
2,Framber Valdez,DET,SP,L,30.8,30.8,18.4,771.7,184.8,12.1,8.5,0,0,3.62,3.28,1.23,171.2,60.2,166.7,7.6,75.0,83.1,15,55.7,24.6,19.7,0.294,664285
3,Jameson Taillon,CHC,SP,R,30.8,30.8,15.1,759.9,178.6,11.5,9.4,0,0,4.74,4.32,1.25,139.8,43.4,180.7,5.2,95.7,102.2,29,37.0,42.8,20.1,0.279,11674
4,Luis Castillo,SEA,SP,R,30.8,30.8,16.2,758.8,178.6,12.2,8.3,0,0,4.20,3.94,1.24,172.7,50.5,170.7,6.7,86.7,93.4,26,39.8,40.5,19.6,0.282,15689
5,Michael Wacha,KC,SP,R,30.8,30.8,15.5,744.5,175.6,10.8,9.5,0,0,4.73,4.62,1.31,140.1,51.5,178.3,5.7,88.5,94.9,26,37.4,42.6,20.0,0.294,14078
6,Cristopher Sanchez,PHI,SP,L,30.8,30.8,18.3,720.8,175.6,12.0,7.1,0,0,3.39,3.21,1.18,168.4,44.7,161.8,5.9,64.8,72.2,16,54.3,26.0,19.7,0.300,650911
7,Mitch Keller,PIT,SP,R,30.8,30.8,15.5,749.0,175.6,10.5,9.7,0,0,4.56,4.15,1.29,149.7,53.2,173.1,9.8,88.8,95.6,22,42.5,37.7,19.8,0.297,656605
8,Tarik Skubal,DET,SP,L,30.8,30.8,19.1,698.8,175.6,11.6,7.2,0,0,2.94,2.65,0.97,213.6,38.2,133.0,6.2,58.0,63.6,18,41.8,39.1,19.1,0.275,669373
9,Bryan Woo,SEA,SP,R,30.8,30.8,16.6,729.1,175.6,12.0,7.8,0,0,3.92,3.45,1.11,179.8,39.8,154.3,6.9,79.6,85.7,25,39.4,41.0,19.7,0.267,693433
10,Kevin Gausman,TOR,SP,R,30.8,30.8,15.9,730.4,172.5,11.4,8.2,0,0,4.24,3.72,1.22,172.2,51.3,158.3,4.2,81.7,87.9,24,37.6,42.6,19.8,0.277,14107
